segment_index,ecg_peak_count,ppg_peak_count,ecg_heart_rate_bpm,ppg_heart_rate_bpm,ecg_sqi,ppg_sqi,ecg_weight,ppg_weight,fused_heart_rate_bpm
0,60,59,118.1575,118.0141,0.8371,0.8524,0.4955,0.5045,118.0852
1,56,55,110.5602,110.3542,0.8062,0.8431,0.4888,0.5112,110.4549
2,54,54,107.2296,107.1140,0.8105,0.8637,0.4841,0.5159,107.1699
3,56,56,110.9766,110.8871,0.8136,0.8432,0.4911,0.5089,110.9310
4,53,53,106.6448,106.5574,0.8225,0.8123,0.5031,0.4969,106.6014
5,56,56,110.9467,110.8871,0.8322,0.8372,0.4985,0.5015,110.9168
6,57,57,113.8211,113.6979,0.8145,0.8474,0.4901,0.5099,113.7583
7,58,58,116.0109,116.0423,0.8383,0.8490,0.4969,0.5031,116.0267
8,59,59,116.8726,116.9041,0.8232,0.8413,0.4946,0.5054,116.8885
9,62,61,122.4900,122.6158,0.8327,0.8397,0.4979,0.5021,122.5531
10,36,36,71.3315,71.1382,0.8372,0.9007,0.4817,0.5183,71.2313
11,36,36,71.6430,71.5844,0.8261,0.8909,0.4811,0.5189,71.6126
12,35,35,69.2558,69.6341,0.8382,0.8748,0.4893,0.5107,69.4490
13,38,38,76.5728,76.2572,0.8113,0.8434,0.4903,0.5097,76.4120
14,38,38,75.7576,75.7990,0.8325,0.8848,0.4847,0.5153,75.7789
15,38,38,75.3462,75.2849,0.8401,0.8873,0.4863,0.5137,75.3147
16,36,36,70.9651,70.8502,0.8118,0.8579,0.4862,0.5138,70.9061
17,33,35,69.1553,69.2182,0.8388,0.8872,0.4860,0.5140,69.1876
18,35,35,69.5961,69.5012,0.8515,0.9052,0.4847,0.5153,69.5472
19,36,39,77.6492,77.7626,0.8467,0.8902,0.4875,0.5125,77.7073
20,39,42,80.2817,82.5282,0.7650,0.8524,0.4730,0.5270,81.4656
21,39,40,80.3882,80.3351,0.8497,0.8920,0.4878,0.5122,80.3610
22,40,40,79.5269,79.4405,0.8335,0.8835,0.4855,0.5145,79.4825
23,42,42,82.9736,82.9064,0.8379,0.8783,0.4882,0.5118,82.9392
24,41,41,81.6993,81.6993,0.8445,0.9046,0.4828,0.5172,81.6993
25,52,52,105.1691,107.2041,0.7839,0.8448,0.4813,0.5187,106.2247
26,51,53,101.4885,105.4624,0.7317,0.8219,0.4710,0.5290,103.5908
27,54,55,107.0851,109.0762,0.7813,0.8694,0.4733,0.5267,108.1338
28,53,54,106.1224,107.7820,0.7701,0.8357,0.4796,0.5204,106.9861
29,52,52,103.1832,103.1275,0.8219,0.8795,0.4831,0.5169,103.1544
