segment_index,ecg_peak_count,ppg_peak_count,ecg_heart_rate_bpm,ppg_heart_rate_bpm,fused_heart_rate_bpm,ecg_sqi,ppg_sqi,fused_hrv_source,ecg_interval_count,ecg_mean_nn_seconds,ecg_sdnn_seconds,ecg_rmssd_seconds,ecg_pnn50_percent,ppg_interval_count,ppg_mean_nn_seconds,ppg_sdnn_seconds,ppg_rmssd_seconds,ppg_pnn50_percent,fused_interval_count,fused_mean_nn_seconds,fused_sdnn_seconds,fused_rmssd_seconds,fused_pnn50_percent
0,60,59,118.1575,118.0141,118.0852,0.8371,0.8524,weighted_ecg_ppg,59,0.5078,0.0050,0.0077,0.0000,58,0.5084,0.0074,0.0122,0.0000,58,0.5082,0.0048,0.0074,0.0000
1,56,55,110.5602,110.3542,110.4549,0.8062,0.8431,weighted_ecg_ppg,55,0.5427,0.0142,0.0126,0.0000,54,0.5437,0.0166,0.0178,1.8868,54,0.5433,0.0138,0.0114,0.0000
2,54,54,107.2296,107.1140,107.1699,0.8105,0.8637,weighted_ecg_ppg,53,0.5595,0.0043,0.0068,0.0000,53,0.5602,0.0066,0.0105,0.0000,53,0.5599,0.0039,0.0056,0.0000
3,56,56,110.9766,110.8871,110.9310,0.8136,0.8432,weighted_ecg_ppg,55,0.5407,0.0161,0.0280,5.5556,55,0.5411,0.0153,0.0253,3.7037,55,0.5409,0.0084,0.0098,0.0000
4,53,53,106.6448,106.5574,106.6014,0.8225,0.8123,weighted_ecg_ppg,52,0.5626,0.0188,0.0267,7.8431,52,0.5631,0.0195,0.0265,7.8431,52,0.5628,0.0137,0.0132,0.0000
5,56,56,110.9467,110.8871,110.9168,0.8322,0.8372,weighted_ecg_ppg,55,0.5408,0.0093,0.0081,0.0000,55,0.5411,0.0107,0.0100,0.0000,55,0.5409,0.0088,0.0057,0.0000
6,57,57,113.8211,113.6979,113.7583,0.8145,0.8474,weighted_ecg_ppg,56,0.5271,0.0156,0.0236,5.4545,56,0.5277,0.0145,0.0213,3.6364,56,0.5274,0.0103,0.0114,0.0000
7,58,58,116.0109,116.0423,116.0267,0.8383,0.8490,weighted_ecg_ppg,57,0.5172,0.0086,0.0061,0.0000,57,0.5171,0.0102,0.0086,0.0000,57,0.5171,0.0088,0.0054,0.0000
8,59,59,116.8726,116.9041,116.8885,0.8232,0.8413,weighted_ecg_ppg,58,0.5134,0.0077,0.0072,0.0000,58,0.5132,0.0087,0.0098,0.0000,58,0.5133,0.0069,0.0050,0.0000
9,62,61,122.4900,122.6158,122.5531,0.8327,0.8397,weighted_ecg_ppg,61,0.4898,0.0049,0.0054,0.0000,60,0.4893,0.0072,0.0085,0.0000,60,0.4896,0.0054,0.0051,0.0000
10,36,36,71.3315,71.1382,71.2313,0.8372,0.9007,weighted_ecg_ppg,35,0.8411,0.0226,0.0347,11.7647,35,0.8434,0.0238,0.0359,14.7059,35,0.8423,0.0151,0.0191,2.9412
11,36,36,71.6430,71.5844,71.6126,0.8261,0.8909,weighted_ecg_ppg,35,0.8375,0.0352,0.0543,32.3529,35,0.8382,0.0344,0.0529,29.4118,35,0.8378,0.0218,0.0230,2.9412
